Date,Person_ID,Age,Gender,City,Temperature_C,Activity_Level,Water_Consumed_Liters,Consumption_scaled
2025-01-01,P0053,27.0,Female,Karachi,40.5,High,3.76,0.857142857142857
2025-01-01,P0069,41.0,Female,Rawalpindi,18.6,Medium,2.4,0.3832752613240417
2025-01-01,P0070,48.0,Female,Lahore,28.5,Medium,2.83,0.5331010452961671
2025-01-01,P0061,41.0,Female,Karachi,17.7,Low,1.76,0.16027874564459926
2025-01-01,P0062,40.0,Male,Multan,30.2,High,3.4,0.7317073170731705
2025-01-01,P0063,57.0,Female,Rawalpindi,25.8,Low,2.31,0.35191637630662015
2025-01-01,P0100,55.0,Male,Rawalpindi,28.5410751565762,Medium,2.4,0.3832752613240417
2025-01-01,P0096,40.0,Male,Karachi,19.6,High,2.75,0.5052264808362368
2025-01-01,P0089,19.0,Male,Faisalabad,28.5410751565762,High,3.6,0.8013937282229964
2025-01-01,P0064,22.0,Male,Rawalpindi,38.0,Low,2.96,0.5783972125435539
2025-01-01,P0092,19.0,Male,Faisalabad,40.5,High,2.7222117072635506,0.4955441488723172
2025-01-01,P0020,24.0,Male,Rawalpindi,24.7,Medium,2.59,0.4494773519163762
2025-01-01,P0075,40.0,Female,Rawalpindi,30.0,High,3.18,0.6550522648083623
2025-01-01,P0022,42.0,Female,Lahore,23.0,Low,2.7222117072635506,0.4955441488723172
2025-01-01,P0058,37.0,Male,Rawalpindi,15.3,Low,1.76,0.16027874564459926
2025-01-01,P0077,24.0,Female,Islamabad,35.3,Medium,3.03,0.6027874564459927
2025-01-01,P0039,43.0,Male,Faisalabad,40.2,Medium,3.58,0.7944250871080138
2025-01-01,P0012,28.0,Male,Rawalpindi,34.1,High,3.54,0.7804878048780486
2025-01-01,P0035,51.0,Male,Rawalpindi,18.6,Low,1.95,0.22648083623693377
2025-01-01,P0074,53.0,Female,Karachi,25.5,Medium,2.7222117072635506,0.4955441488723172
2025-01-01,P0042,47.0,Female,Rawalpindi,41.5,Medium,3.51,0.7700348432055746
2025-01-01,P0023,53.0,Female,Islamabad,16.6,Low,1.77,0.16376306620209052
2025-01-01,P0030,57.0,Female,Multan,37.4,Low,2.73,0.4982578397212543
2025-01-01,P0067,55.0,Male,Multan,22.1,Low,1.93,0.21951219512195114
2025-01-01,P0033,64.0,Male,Islamabad,32.2,Medium,2.81,0.5261324041811846
2025-01-01,P0049,25.0,Female,Lahore,37.0,Medium,3.41,0.735191637630662
2025-01-01,P0009,57.0,Female,Karachi,39.2,Medium,3.14,0.641114982578397
2025-01-01,P0006,21.0,Female,Islamabad,20.7,Medium,2.77,0.5121951219512195
2025-01-01,P0055,36.0,Female,Multan,28.9,Medium,2.68,0.4808362369337979
2025-01-01,P0019,41.0,Male,Faisalabad,28.5410751565762,Medium,2.32,0.3554006968641114
2025-01-01,P0010,44.0,Male,Rawalpindi,40.7,Medium,3.28,0.6898954703832751
2025-01-01,P0024,39.0,Female,Faisalabad,27.4,High,3.16,0.6480836236933798
2025-01-01,P0032,34.0,Female,Rawalpindi,26.2,Low,2.7222117072635506,0.4955441488723172
2025-01-01,P0088,56.0,Male,Rawalpindi,35.3,Low,2.78,0.5156794425087106
2025-01-01,P0071,19.0,Female,Rawalpindi,40.8,Low,2.7222117072635506,0.4955441488723172
2025-01-01,P0018,49.0,Female,Rawalpindi,37.6,Medium,3.43,0.7421602787456445
2025-01-01,P0085,43.0,Male,Multan,40.7,Medium,2.7222117072635506,0.4955441488723172
2025-01-01,P0029,37.0,Male,Karachi,40.9,Medium,3.47,0.7560975609756098
2025-01-01,P0026,52.0,Female,Islamabad,29.9,Medium,2.89,0.5540069686411149
2025-01-01,P0091,38.0,Male,Karachi,28.5410751565762,Low,1.84,0.18815331010452957
2025-01-01,P0041,20.0,Female,Rawalpindi,28.5410751565762,Low,3.13,0.6376306620209058
2025-01-01,P0081,53.0,Female,Multan,41.3,Medium,3.44,0.7456445993031358
2025-01-01,P0087,42.0,Male,Multan,33.8,Low,2.28,0.34146341463414626
2025-01-01,P0054,55.0,Male,Rawalpindi,33.7,High,3.56,0.7874564459930311
2025-01-01,P0068,26.0,Male,Karachi,16.8,Medium,2.33,0.3588850174216028
2025-01-01,P0002,54.0,Other,Rawalpindi,40.1,Low,2.78,0.5156794425087106
2025-01-01,P0090,62.0,Male,Islamabad,25.7,Medium,2.71,0.4912891986062717
2025-01-01,P0056,37.0,Female,Multan,24.7,Medium,2.46,0.4041811846689895
2025-01-01,P0016,58.0,Male,Rawalpindi,16.8,Medium,2.15,0.29616724738675954
2025-01-01,P0066,25.0,Female,Multan,24.7,Medium,2.61,0.45644599303135874
2025-01-01,P0043,30.0,Female,Faisalabad,33.7,Low,2.44,0.39721254355400687
2025-01-01,P0083,47.0,Female,Islamabad,16.2,Medium,1.99,0.24041811846689892
2025-01-01,P0025,35.0,Male,Rawalpindi,15.0,High,2.76,0.508710801393728
2025-01-01,P0013,43.0,Female,Faisalabad,21.5,High,2.78,0.5156794425087106
2025-01-01,P0097,44.0,Male,Rawalpindi,20.5,Medium,2.6,0.4529616724738676
2025-01-01,P0059,41.0,Male,Lahore,28.5410751565762,Low,2.27,0.337979094076655
2025-01-01,P0047,51.0,Male,Rawalpindi,25.2,Low,2.1,0.2787456445993031
2025-01-01,P0017,46.0,Male,Multan,18.7,Low,2.7222117072635506,0.4955441488723172
